"Havaintoasema","Vuosi","Kuukausi","Päivä","Aika [Paikallinen aika]","Ilman lämpötila mediaani [°C]"
"Turku Artukainen","2023","9","2","11:00","15.5"
"Turku Artukainen","2023","9","2","12:00","14.7"
"Turku Artukainen","2023","9","2","13:00","14.8"
"Turku Artukainen","2023","9","2","14:00","16"
"Turku Artukainen","2023","9","2","15:00","16.5"
"Turku Artukainen","2023","9","2","16:00","16.7"
"Turku Artukainen","2023","9","2","17:00","17"
"Turku Artukainen","2023","9","2","18:00","15.8"
"Turku Artukainen","2023","9","2","19:00","15.3"
"Turku Artukainen","2023","9","2","20:00","15.3"
"Turku Artukainen","2023","9","2","21:00","14.5"
"Turku Artukainen","2023","9","2","22:00","13.8"
"Turku Artukainen","2023","9","2","23:00","13.7"
"Turku Artukainen","2023","9","3","00:00","13"
"Turku Artukainen","2023","9","3","01:00","12.6"
"Turku Artukainen","2023","9","3","02:00","12.1"
"Turku Artukainen","2023","9","3","03:00","12.4"
"Turku Artukainen","2023","9","3","04:00","12.8"
"Turku Artukainen","2023","9","3","05:00","12.5"
"Turku Artukainen","2023","9","3","06:00","12.3"
"Turku Artukainen","2023","9","3","07:00","11.6"
"Turku Artukainen","2023","9","3","08:00","11.7"
"Turku Artukainen","2023","9","3","09:00","13.5"
"Turku Artukainen","2023","9","3","10:00","16.4"
"Turku Artukainen","2023","9","3","11:00","17.1"
"Turku Artukainen","2023","9","3","12:00","17.5"
"Turku Artukainen","2023","9","3","13:00","18.9"
"Turku Artukainen","2023","9","3","14:00","18.6"
"Turku Artukainen","2023","9","3","15:00","18.4"
"Turku Artukainen","2023","9","3","16:00","18.5"
"Turku Artukainen","2023","9","3","17:00","18"
"Turku Artukainen","2023","9","3","18:00","17.6"
"Turku Artukainen","2023","9","3","19:00","17.5"
"Turku Artukainen","2023","9","3","20:00","16.6"
"Turku Artukainen","2023","9","3","21:00","15.9"
"Turku Artukainen","2023","9","3","22:00","14.8"
"Turku Artukainen","2023","9","3","23:00","13.4"
